    Index      rate  quality    brain_area
---------  --------  ---------  ------------
951763702   2.38003  good       PoT
951763707   0.01147  noise      PoT
951763711   3.1503   good       PoT
951763715   6.53     good       PoT
951763720   2.00296  good       PoT
951763724   8.66233  noise      PoT
951763729  11.134    noise      PoT
951763733  23.8915   good       PoT
951763737   1.01848  noise      PoT
951763741  11.8133   noise      PoT
951763745  13.4006   noise      PoT
951763749  18.2252   noise      PoT
951763753  18.9817   noise      PoT
951763758  13.2587   noise      PoT
951763762  17.3762   noise      PoT
951763766  12.0932   noise      PoT
951763770   4.00705  noise      LP
951763774   5.77131  good       PoT
951763778   1.15881  noise      PoT
951763782  14.6012   good       PoT
951763786   7.50032  good       PoT
951763790   0.50676  good       PoT
951763794  13.4125   noise      PoT
951763798   3.45524  good       PoT
951763802  14.2516   good       PoT
951763806   2.36639  good       LP
951763808  10.4327   good       PoT
951763811   0.91494  noise      PoT
951763815   8.95715  noise      PoT
951763819   0.69669  good       PoT
951763823  15.7534   good       LP
951763828  20.426    good       LP
951763833   5.54128  good       LP
951763837  10.3832   good       LP
951763841  18.6182   good       LP
951763845  12.7977   good       LP
951763849  11.4132   good       LP
951763854   2.52108  noise      LP
951763859  17.1477   good       LP
951763863   0.59377  good       LP
951763867   0.03658  good       LP
951763874   0.01312  noise      LP
951763880   0.02273  noise      CA1
951763887   5.85025  good       LP
951763893   5.0215   good       LP
951763901   6.27197  good       LP
951763907   9.34383  good       LP
951763914  15.789    good       LP
951763920   4.00488  good       LP
951763928   5.38287  good       LP
951763934   3.04221  good       LP
951763941   0.00816  noise      LP
951763947   1.57897  noise      LP
951763954  11.8275   good       LP
951763961   8.62689  good       LP
951763968   8.3856   good       LP
951763975  14.9898   good       LP
951763982  12.1488   good       LP
951763988   7.26286  good       LP
951763994   5.46647  noise      LP
951764001  11.7287   good       LP
951764008   0.15738  good       LP
951764014   2.82003  noise      LGd
951764022  11.1967   good       LP
951764029   5.63883  good       LP
951764035  11.5555   good       LP
951764042  12.2763   good       LP
951764049   3.296    good       LP
951764055   7.28983  good       LP
951764063   7.33901  good       LP
951764070  10.6127   good       LP
951764076   3.39117  good       LP
951764083  10.1095   good       LP
951764090  14.326    good       LP
951764099  11.0116   good       LP
951764106  12.9879   good       LP
951764112   8.86983  good       LP
951764118   4.8696   good       LGd
951764125   4.77381  good       LGd
951764132  11.0504   good       LGd
951764139   6.14549  good       LGd
951764147   7.73138  good       LGd
951764155   7.7847   good       LGd
951764162   3.00635  good       LGd
951764169   0.58705  good       LGd
951764175  11.2825   good       LGd
951764182   3.69808  good       LGd
951764190   8.31926  good       LGd
951764196   2.44906  good       LGd
951764203  14.0843   good       LGd
951764210   5.32293  good       LGd
951764216  19.1162   good       LGd
951764224   3.83655  good       LGd
951764232   5.33502  good       LGd
951764239   3.92841  good       LGd
951764246   5.55037  good       LGd
951764250   6.62693  good       LGd
951764254   0.49198  noise      LGd
951764259   7.92751  good       LGd
951764263   5.8641   good       LGd
951764268   4.06389  good       LGd
951764272  14.842    good       LGd
951764276   1.14734  noise      LGd
951764279  10.7474   good       LGd
951764284   4.16102  good       LGd
951764287   4.80088  good       LGd
951764293  16.162    good       LGd
951764299   9.321    good       LGd
951764305  12.0763   good       LGd
951764312  13.7481   good       LGd
951764319   2.25282  good       LGd
951764325  14.3434   good       LGd
951764332   6.43751  good       LGd
951764338   6.4588   good       LGd
951764344  12.0088   good       LGd
951764350  10.6634   good       LGd
951764357  11.6866   good       LGd
951764364   6.12068  good       LGd
951764370  14.4044   good       LGd
951764374   4.53159  good       LGd
951764379   4.49532  good       LGd
951764385   8.29497  good       LGd
951764390   3.70893  good       LGd
951764396   5.75643  good       LGd
951764403   1.74472  noise      LGd
951764409   2.02507  noise      LGd
951764415  22.8442   good       LGd
951764421  11.9241   good       LGd
951764426   2.71742  noise      LGd
951764432  14.0462   good       LGd
951764438  22.7161   good       LGd
951764443  14.2488   good       LGd
951764447   3.7575   good       LGd
951764454   8.93462  good       LGd
951764460  20.9761   good       LGd
951764466   3.91136  good       LGd
951764472  15.2495   good       LGd
951764478  17.1805   good       LGd
951764484   5.14984  good       LGd
951764490   3.234    good       LGd
951764496  10.2851   good       LGd
951764503  20.7697   good       LGd
951764508   3.69643  good       LGd
951764514  12.4374   good       LGd
951764520  10.2671   good       LGd
951764525   5.52423  good       LGd
951764531  12.6207   noise      LGd
951764537  11.6708   noise      LGd
951764543   3.67886  good       LGd
951764550   4.92685  good       LGd
951764557   9.14284  good       LGd
951764563  10.5269   good       LGd
951764570  11.5479   good       LGd
951764576   6.09557  noise      LGd
951764582   3.42961  noise      LGd
951764589   5.32965  noise      LGd
951764595   6.93115  noise      LGd
951764601   3.70697  noise      LGd
951764608  18.6999   good       LGd
951764614  15.2261   good       LGd
951764618   1.6015   good       LGd
951764622  13.3591   good       LGd
951764624  13.0301   good       LGd
951764626  11.5823   good       LGd
951764630   7.20716  good       LGd
951764635   5.02522  good       LGd
951764639  10.251    good       LGd
951764644  13.5192   good       LGd
951764648   8.21975  good       LGd
951764652   6.23229  good       LGd
951764656   5.28139  noise      LGd
951764663   0.00093  noise      LGd
951764669   3.9993   good       LGd
951764675   4.10233  good       LGd
951764681   1.56647  good       LGd
951764688   1.50726  good       LGd
951764694   2.66358  good       LGd
951764700   4.42691  good       LGd
951764706  10.0951   good       LGd
951764714   3.74241  good       LGd
951764718   9.8384   noise      LGd
951764724  10.5901   good       LGd
951764731  12.0302   good       LGd
951764739   1.05082  noise      LGd
951764746   0.00227  noise      LGd
951764753   9.52085  good       LGd
951764761   8.88574  noise      LGd
951764768   9.13933  good       LGd
951764776   3.37133  good       LGd
951764783  23.1542   good       LGd
951764791   5.49003  good       LGd
951764798  10.1731   good       LGd
951764809  20.4946   noise      LGd
951764815   0.83423  noise      LGd
951764821   0.83144  noise      LGd
951764827   0.0031   noise      LGd
951764835   9.1322   noise      CA3
951764842   2.50341  good       DG
951764848   0.71105  good       DG
951764855   4.23894  good       DG
951764862   2.10123  good       DG
951764868  13.3805   good       DG
951764875   1.47967  good       DG
951764883   3.91798  noise      DG
951764889   7.6392   noise      DG
951764895   5.06408  good       DG
951764903   6.99842  good       DG
951764909   3.95053  noise      DG
951764916   0.01033  noise      DG
951764923   0.00558  noise      DG
951764928   0.00765  noise      DG
951764935   0.01354  noise      DG
951764939   0.00827  noise      DG
951764944   4.10667  noise      DG
951764951   2.11601  good       DG
951764958   2.80133  noise      DG
951764964   4.36522  noise      DG
951764971   1.73925  noise      DG
951764977   3.93389  noise      DG
951764983   3.26614  noise      DG
951764990   1.58476  noise      DG
951764995   1.82656  noise      DG
951765001   0.65494  noise      DG
951765009  18.7407   good       DG
951765017   1.72437  noise      CA1
951765023   2.14391  good       CA1
951765031   6.40951  noise      CA1
951765039   6.89932  noise      CA1
951765044   6.80167  noise      CA1
951765049   0.0031   noise      CA1
951765055   0.04092  noise      CA1
951765061   0.04764  good       CA1
951765067   1.06364  good       CA1
951765074   0.86037  noise      CA1
951765080   3.61148  noise      CA1
951765085   0.00713  noise      CA1
951765093   0.0125   noise      CA1
951765098   0.62353  good       CA1
951765105  17.799    noise      CA1
951765110   3.41453  noise      CA1
951765118   1.60491  noise      CA1
951765124  10.2191   noise      CA1
951765132   6.29749  noise      CA1
951765138   4.64836  noise      CA1
951765145   5.76635  good       CA1
951765151  12.9111   good       CA1
951765159  25.3179   noise      CA1
951765164   8.99611  noise      CA1
951765170   5.02088  noise      CA1
951765176   2.50662  good       CA1
951765182  10.2026   good       CA1
951765189   3.2618   noise      CA1
951765195   0.83537  noise      CA1
951765200   0.81367  noise      CA1
951765206   0.65071  noise      CA1
951765213   0.47751  good       CA1
951765219   0.00651  noise      CA1
951765225   5.07885  good       CA1
951765231   2.53317  noise      CA1
951765238   2.03313  noise      CA1
951765243   5.11461  good       CA1
951765247   7.2672   noise      CA1
951765252   4.16857  good       CA1
951765258   9.5782   good       CA1
951765264   2.62855  good       CA1
951765270   2.10805  good       CA1
951765276   6.53124  good       CA1
951765282   2.79348  good       CA1
951765288   9.12827  good       CA1
951765293   5.05044  good       CA1
951765299   4.3677   good       CA1
951765303   6.53413  good       CA1
951765309   2.50352  good       CA1
951765314   9.83788  good       CA1
951765319   0.90471  good       CA1
951765323   3.66574  good       CA1
951765329   4.50648  good       CA1
951765334   6.26566  good       CA1
951765339   1.33551  good       CA1
951765343   4.19781  good       CA1
951765349  10.8901   good       CA1
951765353   3.54545  good       CA1
951765358   2.30501  good       CA1
951765364  39.3285   good       CA1
951765369  13.1377   good       CA1
951765374   0.32385  noise      CA1
951765379   2.20085  noise      CA1
951765385   0.00785  good       CA1
951765393   5.09063  noise      CA1
951765396   0.00289  noise      CA1
951765400  16.8106   noise      CA1
951765405  33.1885   good       CA1
951765411  11.0497   noise      CA1
951765414   5.89448  good       CA1
951765420  13.1448   good       CA1
951765423  14.1916   good       CA1
951765430   5.69876  good       CA1
951765435  19.8853   good       CA1
951765440   9.97935  good       VISp
951765447   1.86221  good       VISp
951765454   5.47349  good       VISp
951765460   4.44892  good       VISp
951765467   9.98162  good       VISp
951765473   4.10409  noise      VISp
951765478  17.4047   good       VISp
951765485  13.9773   good       VISp
951765490   5.27323  noise      VISp
951765497   8.33011  noise      VISp
951765502  13.287    noise      VISp
951765508   2.13461  good       VISp
951765513   3.90661  noise      VISp
951765520  24.5397   noise      VISp
951765525  12.0324   noise      VISp
951765530   2.95127  good       VISp
951765535   3.3674   good       VISp
951765541   1.58972  good       VISp
951765547   3.5935   good       VISp
951765552   2.32971  good       VISp
951765557   4.0796   good       VISp
951765561   1.76766  good       VISp
951765566   3.18388  good       VISp
951765571   2.77426  good       VISp
951765576  12.7688   noise      VISp
951765582  14.778    good       VISp
951765587   2.62793  good       VISp
951765594   2.76868  good       VISp
951765600   0.00796  noise      VISp
951765606   7.46973  good       VISp
951765611  23.9673   good       VISp
951765617   2.60169  good       VISp
951765623   6.50075  good       VISp
951765629   3.00129  good       VISp
951765635   0.11336  noise      VISp
951765641   4.34527  good       VISp
951765647   9.12497  good       VISp
951765653   9.42195  good       VISp
951765661  15.6626   good       VISp
951765666   9.72245  good       VISp
951765669   5.41325  good       VISp
951765675  18.6652   good       VISp
951765681  14.6917   good       VISp
951765686  11.2814   good       VISp
951765692   1.13855  good       VISp
951765697   9.08022  good       VISp
951765703   3.58978  noise      VISp
951765710   0.003    noise      VISp
951765716   3.34756  good       VISp
951765721  10.0994   good       VISp
951765727  15.782    good       VISp
951765732   1.64645  good       VISp
951765737   6.97155  good       VISp
951765743  10.5288   noise      VISp
951765747  13.0858   noise      VISp
951765753  13.4251   noise      VISp
951765758  13.2055   noise      VISp
951765764  19.5368   noise      VISp
951765769   7.64943  good       VISp
951765775   0.31001  noise      VISp
951765780   0.00289  noise      VISp
951765786   2.58722  good       VISp
951765793   7.54827  good       VISp
951765801   1.88846  good       VISp
951765809   5.72387  good       VISp
951765815   0.00713  noise      VISp
951765820   5.49643  good       VISp
951765825   1.98983  good       VISp
951765832   5.27602  noise      VISp
951765836   1.17183  noise      VISp
951765841   0.00858  noise      VISp
951765849   1.28302  noise      VISp
951765855   1.28787  good       VISp
951765859   0.18828  noise      VISp
951765866   3.43602  good       VISp
951765870   0.45974  noise      VISp
951765876   0.00134  noise      VISp
951765881   1.33448  good       VISp
951765886   3.61417  good       VISp
951765892   0.73668  good       VISp
951765898  21.7077   noise
951765904   0.91411  noise
951765910  10.1545   noise
951765913  10.8102   good       LP
951765921   0.11367  good       LP
951765926   9.27046  good       LGd
951765931   5.00807  good       LGd
951765944   1.90417  good       LGd
951765950   1.62072  good       LGd
951765955   0.16513  good       DG
951765961   0.948    good       DG
951765966   0.10117  good       CA1
951765973   0.67416  good       CA1
951765977   0.50407  good       CA1
951765984   0.12969  noise      CA1
951765988   0.45085  good       CA1
951765995   1.32508  good       VISp
951766001   0.1395   noise
951766007   0.57589  good       DG
951766012   0.09083  good       CA1
951766019   0.02501  good       CA1
951766024   0.00837  good       CA1
951766138   3.56684  good       PO
951766144  10.9933   good       PO
951766152   7.44338  good       PO
951766160   4.75634  good       PO
951766167  10.7141   good       PO
951766173   9.36047  good       PO
951766180  10.412    good       PO
951766188   5.87175  good       PO
951766195   8.16663  good       PO
951766203   1.90221  good       PO
951766208  12.5293   good       PO
951766214   0.0589   noise      PO
951766220   0.17577  good       PO
951766225   5.32087  good       PO
951766229   4.65135  good       PO
951766235   0.96609  good       PO
951766240   5.05385  good       PO
951766245   3.38342  good       PO
951766251   6.44888  good       PO
951766256   0.70733  good       PO
951766262   6.33583  good       PO
951766266   8.58318  good       PO
951766271   6.02665  good       PO
951766276   2.62132  good       PO
951766280   4.53841  good       PO
951766286   6.32157  good       PO
951766291   2.9985   good       PO
951766298   8.71307  good       PO
951766303   9.10947  good       PO
951766309  27.6031   good       LP
951766314  13.9623   good       LP
951766322  13.2362   good       LP
951766327  20.8808   good       LP
951766334   9.46226  good       PO
951766340   3.49089  good       LP
951766346   7.1218   good       LP
951766353   0.01281  good       LP
951766360   0.39991  good       LP
951766366  10.6936   good       LP
951766372  12.1386   good       LP
951766379   6.03647  good       LP
951766385   3.86827  good       LP
951766390   6.73223  good       LP
951766398   1.86687  good       LP
951766403   7.8248   good       LP
951766408  10.6266   good       LP
951766416  10.091    good       LP
951766421   0.68915  good       LP
951766427   7.16882  good       LP
951766432   7.59136  good       LP
951766438   5.55885  good       LP
951766442   9.71284  good       LP
951766447  13.6457   good       LP
951766452   5.53095  good       LP
951766458  15.2865   good       LP
951766463   8.09647  good       LP
951766469   0.06086  good       LP
951766474  15.4068   good       LP
951766480   6.592    good       LP
951766485   1.00887  good       LP
951766489   5.3901   good       LP
951766494   5.21226  good       LP
951766500   0.344    good       LP
951766504   7.791    good       LP
951766510   3.71916  good       LP
951766515  14.5508   good       LP
951766521  10.2152   good       LP
951766526   7.57307  good       LP
951766531   8.37578  good       LP
951766541  15.5747   good       LP
951766546  12.2331   good       LP
951766552   6.38915  good       LP
951766557   4.74549  good       LP
951766562   0.16058  good       LP
951766567   1.90572  good       LP
951766573  14.5612   good       LP
951766577   2.15807  good       LP
951766582   6.21069  good       LP
951766589  13.1292   good       LP
951766593   2.40938  good       LP
951766599  10.8013   good       LP
951766605   0.91628  noise      LP
951766611   8.05554  good       LP
951766616   4.09551  good       LP
951766621   4.53768  good       LP
951766625   7.22948  good       LP
951766630  17.7724   good       LP
951766634   5.82938  good       LP
951766636  10.1654   good       LP
951766640  14.9032   good       LP
951766645   9.48799  good       LP
951766650   9.78735  good       LP
951766657   4.37906  good       LP
951766662   8.9896   good       LP
951766673  19.209    good       LP
951766679   4.43683  good       LP
951766685   5.74878  good       LP
951766691   0.12307  good       LP
951766697   9.43415  good       LP
951766704  14.0932   good       LP
951766709   3.67142  good       LP
951766714   5.80851  good       LP
951766722   4.83012  good       LP
951766727   7.53411  noise      LP
951766732   9.49439  good       LP
951766738   0.03865  good       LP
951766743   6.11428  good       LP
951766749  10.5625   good       LP
951766754   4.75293  good       LP
951766761   2.22317  noise      LP
951766767   6.77501  good       LP
951766773   5.93778  good       LP
951766780   9.65053  noise      LP
951766785   0.00289  noise      LP
951766791  12.2685   good       LP
951766797   9.73103  good       LP
951766803   1.74886  good       LP
951766809   5.3809   good       LP
951766816  13.8656   good       LP
951766820   4.09675  noise      LP
951766828   3.99424  good       LP
951766833   3.1071   good       LP
951766840   0.74164  good       LP
951766846   3.07569  good       LP
951766853   0.11636  good       LP
951766860   0.19882  good       LP
951766867   5.40002  good       LP
951766873   6.75093  good       LP
951766879  10.7436   good       LP
951766886   1.85229  good       LP
951766893   6.92133  good       LP
951766899   6.3007   good       LP
951766906   4.72048  good       LP
951766912   6.60729  good       LP
951766918   0.34101  good       LP
951766923   1.02189  good       LP
951766928   1.23497  good       LP
951766933   0.08133  good       LP
951766938   6.78389  good       LP
951766942   7.80795  good       LP
951766948   6.11903  good       LP
951766952  13.0386   good       LP
951766957   1.97123  good       LP
951766960   1.76363  good       LP
951766965   6.69885  good       LP
951766968   1.38088  good       LP
951766973   0.0062   good       LP
951766978   4.07247  noise      LP
951766983   0.16131  good       LP
951766990  12.6832   good       LP
951766995   1.32249  good       LP
951767001   2.79089  good       LP
951767006   3.95456  good       LP
951767013   1.88857  good       LP
951767020   1.77717  noise      LP
951767025   2.16158  noise      LP
951767033   0.14818  noise      LP
951767038   1.78885  good       LP
951767045   5.89758  good       LP
951767050  11.6229   good       LP
951767056   5.01468  good       LP
951767061   4.74084  good       LP
951767067   5.18054  good       LP
951767074   8.54753  good       LP
951767078   2.8839   good       LP
951767086  17.4824   noise      LP
951767092   2.35626  good       LP
951767098   6.15344  good       LP
951767104   1.92845  noise      LP
951767108   5.38793  good       LP
951767112   9.06679  good       LP
951767120   4.13839  good       LP
951767125   3.19928  noise      LP
951767133   3.54359  good       LP
951767138   3.67855  good       LP
951767144   4.2285   good       LP
951767152   8.61593  good       LP
951767157   1.58776  noise      LP
951767164   9.383    noise      DG
951767169   3.17086  noise      DG
951767177   2.97917  noise      DG
951767182   7.54455  noise      DG
951767190   0.09238  good       DG
951767195   2.75473  good       DG
951767202   3.80731  noise      DG
951767209   5.08578  good       DG
951767217   0.1054   good       DG
951767223   6.24179  good       DG
951767230   0.08897  good       DG
951767242  10.0404   good       DG
951767247   1.57566  good       DG
951767253   8.11517  good       CA1
951767258   4.49191  noise      DG
951767263   3.47787  noise      DG
951767269   1.71785  noise      DG
951767274   0.48785  noise      CA1
951767280  13.4059   good       DG
951767285   1.1801   good       DG
951767291   7.60314  noise      CA1
951767297   5.39754  noise      CA1
951767304   1.49341  good       CA1
951767310  20.5422   good       CA1
951767318   0.76107  good       CA1
951767322   0.1455   good       CA1
951767329   3.09563  noise      CA1
951767334   5.63676  noise      CA1
951767340   4.63348  noise      CA1
951767346   6.02128  noise      CA1
951767351   1.51118  noise      CA1
951767358   0.50418  noise      CA1
951767364   0.4586   noise      CA1
951767370   5.1362   noise      CA1
951767376   3.00521  noise      CA1
951767383   2.80598  noise      CA1
951767389   0.93684  noise      CA1
951767395   1.53702  noise      CA1
951767402   1.03677  noise      CA1
951767408   0.03968  noise      CA1
951767415   0.16286  noise      CA1
951767422   3.12963  noise      CA1
951767428   0.00806  noise      CA1
951767433   0.48826  noise      CA1
951767438   4.72493  good       CA1
951767443   0.44     noise      CA1
951767450   0.01478  noise      CA1
951767455   2.51437  good       CA1
951767461   1.6666   good       CA1
951767468   6.65524  noise      CA1
951767474   4.99029  noise      CA1
951767481   2.13409  good       CA1
951767487  15.1874   good       CA1
951767493   0.00765  noise      CA1
951767500   2.84287  good       CA1
951767507   1.90045  noise      CA1
951767514   1.88309  good       CA1
951767520   2.06217  good       CA1
951767526   2.5247   noise      CA1
951767532   6.72251  good       CA1
951767538   0.62498  good       CA1
951767544   0.76841  good       CA1
951767547   0.21701  noise      CA1
951767552   0.27684  noise      CA1
951767556   2.96853  noise      CA1
